CustomerID,isFraud,Value,Time,Max_Dist_Nat,Date,CountryISOCode,BusinessChannel,WeekDay,MonthDay,VincDate,VincOffice,Gender,Segment,Age,Income,Expenditures,VisitedCountries,Dist_Sum_Int,Dist_Mean_Int,Dist_Max_Int,NatVisitedCities,Dist_Mean_Nat,Dist_Today,Dist_Sum_Nat
9000000001,1,0.0,13,409.6,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,342.9,342.9,1,,,,6,295.1,2828.7,3246.3
9000000002,1,0.0,17,369.6,20150515,US,ATM_INT,5,15,20050415,716,M,Personal Plus,29,1612.5,142.9,1,,,,5,18.2,2828.7,1261.3
9000000003,1,0.0,13,409.6,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,342.9,342.9,1,,,,6,295.1,2828.7,3246.3
9000000004,1,0.0,13,409.6,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,342.9,342.9,1,,,,6,295.1,2828.7,3246.3
9000000005,1,0.0,0,0.6,20150510,CR,ATM_INT,0,10,20141009,788,M,Personal,25,0.0,0.0,1,,,,1,,921.9,0.6
9000000006,1,0.0,13,0.6,20150523,US,ATM_INT,6,23,20150220,547,M,Emprendedor,20,1142.9,714.3,1,,,,1,,2828.7,0.6
9000000007,1,0.0,14,409.6,20150526,CR,ATM_INT,2,26,20080409,210,M,Personal Plus,29,600.0,88.6,2,5353.759926,2676.879963,2676.879963,5,212.8,921.9,172.4
9000000008,1,0.0,18,455.5,20150502,US,ATM_INT,6,2,20040520,454,F,Personal Plus,28,571.4,57.1,1,,,,3,249.0,2828.7,1493.7
9000000009,0,0.0,16,0.6,20150501,US,ATM_INT,5,1,20150110,297,M,Personal,21,142.9,85.7,2,2828.74346,2828.74346,2828.74346,1,,2828.7,0.6
9000000010,1,0.0,15,286.6,20150502,PA,ATM_INT,6,2,20090330,46,M,Personal Plus,28,1142.9,428.6,1,,,,9,118.2,648.7,1418.3
9000000011,1,0.0,18,148.1,20150513,CR,ATM_INT,3,13,20100624,17,F,Personal Plus,26,428.6,285.7,3,1447.6996,2611.921657,2828.74346,2,149.0,921.9,296.2
9000000012,1,0.0,13,409.6,20150501,US,ATM_INT,5,1,20120306,392,M,Personal Plus,29,342.9,342.9,1,,,,6,295.1,2828.7,3246.3
9000000013,0,0.0,22,211.0,20150501,US,ATM_INT,5,1,20070629,710,F,Personal Plus,27,342.9,142.9,1,,,,5,171.8,2828.7,367.5
9000000014,1,0.0,23,0.6,20150513,US,ATM_INT,3,13,20090723,4,F,Personal Plus,27,628.6,0.0,2,5657.48692,2828.74346,2828.74346,1,,2828.7,0.6
9000000015,0,0.0,15,0.6,20150507,US,ATM_INT,4,7,20100511,659,F,Personal,22,228.6,200.0,2,2828.74346,2828.74346,2828.74346,1,,2828.7,0.6
9000000016,0,0.0,19,38.2,20150524,US,ATM_INT,0,24,20141203,571,F,Personal Plus,18,285.7,142.9,1,,,,2,38.2,2828.7,114.5
9000000017,0,0.0,21,60.3,20150521,FJ,ATM_INT,4,21,20130608,424,M,Personal,22,171.4,57.1,3,12291.45488,6145.73548,9462.711422,3,35.6,12885.4,142.3
9000000018,0,0.0,16,0.6,20150507,US,ATM_INT,4,7,20100511,659,F,Personal,22,228.6,200.0,2,2828.74346,2828.74346,2828.74346,1,,2828.7,0.6
9000000019,0,0.0,17,151.4,20150525,US,ATM_INT,1,25,20070821,2,M,Emprendedor,24,428.6,571.4,1,,,,3,55.4,2828.7,332.6
9000000020,0,0.0,15,0.6,20150507,US,ATM_INT,4,7,20100511,659,F,Personal,22,228.6,200.0,2,2828.74346,2828.74346,2828.74346,1,,2828.7,0.6
9000000021,0,0.0,18,0.6,20150522,US,ATM_INT,5,22,20130507,836,M,Personal,20,28.6,28.6,2,2828.74346,2828.74346,2828.74346,1,,2828.7,0.6
9000000022,0,0.0,22,0.6,20150513,US,ATM_INT,3,13,,,,,,0.0,0.0,1,,,,1,,2828.7,0.6
9000000023,0,0.0,15,0.6,20150507,US,ATM_INT,4,7,20100511,659,F,Personal,22,228.6,200.0,2,2828.74346,2828.74346,2828.74346,1,,2828.7,0.6
9000000024,0,0.0,15,151.4,20150504,US,ATM_INT,1,4,,,,,,0.0,0.0,1,,,,3,132.6,2828.7,16.6
9000000025,0,0.0,18,0.6,20150522,US,ATM_INT,5,22,20130507,836,M,Personal,20,28.6,28.6,2,2828.74346,2828.74346,2828.74346,1,,2828.7,0.6
9000000026,0,0.0,22,211.0,20150501,US,ATM_INT,5,1,20070629,710,F,Personal Plus,27,342.9,142.9,1,,,,5,171.8,2828.7,367.5
9000000027,0,3.7,9,0.6,20150525,US,POS,1,25,20080122,554,M,Personal Plus,29,285.7,285.7,2,5657.48692,2828.74346,2828.74346,1,,2828.7,0.6
9000000028,0,6.6,11,409.6,20150502,US,POS,6,2,20101001,582,F,Personal Plus,27,3000.0,571.4,2,16972.4676,2828.74346,2828.74346,4,21.4,2828.7,149.9
9000000029,0,6.6,11,409.6,20150502,US,POS,6,2,20101001,582,F,Personal Plus,27,3000.0,571.4,2,16972.4676,2828.74346,2828.74346,4,21.4,2828.7,149.9
9000000030,1,7.0,22,218.9,20150516,EC,ATM_INT,6,16,20020926,430,F,Personal Plus,24,857.1,714.3,5,24392.18562,271.241465,6528.931115,3,82.7,562.2,248.2
9000000031,0,9.4,12,409.6,20150511,US,POS,1,11,19950202,342,F,Personal Plus,26,914.3,628.6,1,,,,5,13.7,2828.7,916.0
9000000032,0,12.2,16,151.4,20150521,US,POS,4,21,20050823,14,M,Personal Plus,28,828.6,485.7,1,,,,4,57.3,2828.7,343.7
9000000033,0,14.6,15,309.5,20150517,PA,POS,0,17,20140102,91,M,Personal,20,85.7,42.9,1,,,,4,158.3,648.7,1583.4
9000000034,0,23.9,11,211.3,20150517,US,POS,0,17,20130604,267,F,Personal Plus,25,714.3,71.4,2,7718.5865,2828.74346,2828.74346,3,163.2,2828.7,636.7
9000000035,0,30.6,17,409.6,20150531,US,ATM_INT,0,31,20091230,793,M,Personal Plus,26,342.9,214.3,1,,,,4,26.8,2828.7,2481.9
9000000036,0,34.5,17,151.4,20150523,US,MCI,6,23,20110923,551,F,Personal Plus,26,680.9,114.3,1,,,,4,57.3,2828.7,343.7
9000000037,0,47.8,12,18.8,20150524,PA,POS,0,24,20060711,191,M,Personal Plus,27,915.0,85.7,2,2594.63568,648.6572135,648.6572135,2,18.8,648.7,337.8
9000000038,0,52.5,19,189.1,20150515,US,POS,5,15,20100818,586,M,Personal Plus,26,468.6,57.1,3,39191.429,3562.85866,4882.4364,4,1.4,2828.7,124.3
9000000039,0,60.1,21,605.2,20150526,AR,POS,2,26,20101006,19,M,Personal Plus,28,1606.8,142.9,2,11314.97384,2828.74346,2828.74346,8,89.3,2676.9,416.5
9000000040,0,61.2,13,173.8,20150515,US,POS,5,15,20110304,907,M,Personal Plus,24,571.4,0.0,5,16999.43455,2428.492425,4882.4364,5,89.9,2828.7,718.9
9000000041,1,68.2,12,14.5,20150503,US,POS,0,3,20120717,337,F,Personal Plus,25,428.6,342.9,2,22629.94768,2828.74346,2828.74346,2,14.5,2828.7,29.0
9000000042,1,68.2,12,14.5,20150503,US,POS,0,3,20120717,337,F,Personal Plus,25,428.6,342.9,2,22629.94768,2828.74346,2828.74346,2,14.5,2828.7,29.0
9000000043,0,68.4,8,179.7,20150521,US,POS,4,21,20100208,571,M,Personal Plus,27,2733.7,451.0,1,,,,2,179.7,2828.7,359.4
9000000044,1,70.8,19,325.0,20150518,SV,ATM_INT,1,18,20130403,634,F,Personal Plus,29,285.7,142.9,1,,,,2,325.5,1338.4,325.5
9000000045,0,71.1,18,108.0,20150524,US,POS,0,24,20081229,68,F,Personal Plus,28,943.1,571.4,1,,,,3,94.9,2828.7,379.7
9000000046,0,91.3,14,562.2,20150503,US,POS,0,3,20060814,808,M,Personal Plus,29,552.3,228.6,1,,,,7,98.6,2828.7,1478.5
9000000047,0,91.3,14,562.2,20150503,US,POS,0,3,20060814,808,M,Personal Plus,29,552.3,228.6,1,,,,7,98.6,2828.7,1478.5
9000000048,1,95.9,22,756.6,20150521,GT,ATM_INT,4,21,20120530,84,F,Personal Plus,28,285.7,57.1,1,,,,3,454.0,1473.0,1815.9
9000000049,1,130.2,18,38.2,20150513,CR,ATM_INT,3,13,20080319,487,M,Personal Plus,29,314.3,100.0,1,,,,3,32.5,921.9,192.3
9000000050,1,146.4,23,455.5,20150530,CR,ATM_INT,6,30,20051126,42,M,Personal Plus,25,517.1,257.1,1,,,,5,231.2,921.9,1387.0
9000000051,0,171.3,14,14.7,20150524,US,POS,0,24,20041230,438,M,PYME,26,17305.7,15770.4,1,,,,5,6.7,2828.7,173.1
9000000052,1,260.4,18,38.2,20150513,CR,ATM_INT,3,13,20080319,487,M,Personal Plus,29,314.3,100.0,1,,,,3,32.5,921.9,192.3
9000000053,0,332.2,11,38.2,20150502,US,POS,6,2,20030109,777,F,Personal,23,45.7,0.0,1,,,,2,38.2,2828.7,76.4
9000000054,0,332.2,11,38.2,20150502,US,POS,6,2,20030109,777,F,Personal,23,45.7,0.0,1,,,,2,38.2,2828.7,76.4
9000000055,0,407.6,14,0.6,20150515,US,POS,5,15,20110715,360,M,Personal Plus,27,571.4,0.0,1,,,,1,,2828.7,0.6
9000000056,1,28.6,20,190.6,20150501,US,ATM_INT,5,1,20110418,860,F,Personal,22,114.3,14.3,1,,,,4,115.9,2828.7,1158.8
9000000057,0,28.7,14,151.4,20150511,US,POS,1,11,20110304,362,F,Personal Plus,24,285.7,114.3,1,,,,2,151.4,2828.7,32.8
9000000058,0,287.5,20,0.6,20150511,US,ATM_INT,1,11,20141209,174,M,Personal Plus,19,428.6,171.4,1,,,,1,,2828.7,0.6
9000000059,1,28.8,5,151.4,20150507,US,ATM_INT,4,7,20120223,272,M,Personal Plus,28,285.7,228.6,1,,,,2,151.4,2828.7,65.5
9000000060,1,28.8,5,409.6,20150507,US,ATM_INT,4,7,20110126,640,F,Personal Plus,22,342.9,200.0,1,,,,2,49.6,2828.7,819.1
9000000061,1,28.8,5,189.1,20150507,US,ATM_INT,4,7,20121024,749,M,Personal Plus,24,1019.4,428.6,1,,,,3,18.7,2828.7,723.0
9000000062,1,28.9,19,0.6,20150502,US,ATM_INT,6,2,20120216,795,F,Personal,21,28.6,22.9,1,,,,1,,2828.7,0.6
9000000063,1,289.4,11,369.6,20150515,US,POS,5,15,20050415,716,M,Personal Plus,29,1612.5,142.9,1,,,,5,18.2,2828.7,1261.3
9000000064,1,29.1,21,81.8,20150519,US,ATM_INT,2,19,20120127,76,F,Personal Plus,21,514.3,200.0,3,3776.883691,944.2193694,15.722843,3,6.1,2828.7,24.5
9000000065,1,29.1,21,189.1,20150519,US,ATM_INT,2,19,20110712,810,M,Personal Plus,24,571.4,28.6,1,,,,4,92.7,2828.7,463.7
9000000066,0,293.0,20,189.1,20150530,US,MCI,6,30,20050719,586,M,Personal Plus,28,2428.6,571.4,5,2644.686,2644.9345,4742.919458,4,93.5,2828.7,56.7
9000000067,0,29.4,11,44.0,20150520,US,POS,3,20,20110726,640,M,Personal Plus,27,685.7,428.6,1,,,,3,31.8,2828.7,127.1
9000000068,0,29.4,22,0.6,20150520,US,MCI,3,20,,,,,,0.0,0.0,2,5657.48692,2828.74346,2828.74346,1,,2828.7,0.6
9000000069,1,295.5,1,189.1,20150528,US,ATM_INT,4,28,20140403,180,F,Personal,22,200.0,57.1,1,,,,4,116.0,2828.7,695.8
9000000070,0,298.0,23,0.6,20150501,US,MCI,5,1,,,,,,0.0,0.0,2,5657.48692,2828.74346,2828.74346,1,,2828.7,0.6
9000000071,0,298.0,23,0.6,20150501,US,MCI,5,1,,,,,,0.0,0.0,2,5657.48692,2828.74346,2828.74346,1,,2828.7,0.6
9000000072,0,3.0,13,0.6,20150525,US,POS,1,25,20080122,554,M,Personal Plus,29,285.7,285.7,2,5657.48692,2828.74346,2828.74346,1,,2828.7,0.6
9000000073,0,30.2,22,17.8,20150522,US,ATM_INT,5,22,20110923,379,M,Personal,24,153.3,0.0,1,,,,4,11.2,2828.7,123.7
9000000074,0,30.3,15,29.9,20150525,PA,POS,1,25,20101111,40,F,Personal Plus,25,828.6,200.0,1,,,,2,29.9,648.7,59.9
9000000075,0,3.1,7,179.7,20150521,US,POS,4,21,20100208,571,M,Personal Plus,27,2733.7,451.0,1,,,,2,179.7,2828.7,359.4
